"x","n"
"  INDUSTRIAL SECURITIES",1
"  JEFFERIES",1
"  OCEANWIDE SECURITIES",1
"  STIFEL COMPANY",1
"  WILLIAM BLAIR",1
" 1 WIN SECURITIES",2
" A STIFEL COMPANY",4
" ABC INTERNATIONAL",11
" ABN AMRO",1
" AFG",2
" ALLEN & COMPANY LLC",2
" ALLEN & COMPANY LLC",6
" ALLIANCE CAPITAL",1
" ALPHA FINANCIAL GROUP",1
" AMPLE CAPITAL",1
" AMTD",5
" AMTD TIGER",1
" ARISTO SECURITIES",2
" ASTRUM",1
" BAIRD",6
" BARCLAYS",16
" BARCLAYS",1
" BLACKWELL GLOBAL SECURITIES",1
" BLUEMOUNT FINANCIAL GROUP",2
" BMO CAPITAL MARKETS",6
" BMO CAPITAL MARKETS",4
" BMO CAPITAL MARKETS
",1
" BNP PARIBAS",2
" BOC INTERNATIONAL",3
" BOCOM INTERNATIONAL",1
" BOFA MERRILL LYNCH",11
" BOFA MERRILL LYNCH",16
" BOFA MERRILL LYNCH
",1
" BOK FINANCIAL SECURITIES",1
" BRILLIANT NORTON SECURITIES",2
" BRUYETTE & WOODS",5
" BRUYETTE & WOODS",1
" BRUYETTE & WOODS",1
" BTG PACTUAL",1
" BTIG",5
" CAITONG INTERNATIONAL SECURITIES",1
" CANACCORD GENUITY",5
" CANACCORD GENUITY",6
" CANFIELD SECUITIES",1
" CANTOR",1
" CAPITAL CSC SECURITIES",1
" CAPITAL ONE SECURITIES",1
" CCB",1
" CCB INTERNATIONAL",6
" CCSC",1
" CENTRAL CHINA SECURITIES",1
" CHAOSHANG SECURITIES",6
" CHARDAN",2
" CHINA GALAXY SECURITIES",4
" CHINA GOLDJOY SECURITIES",4
" CHINA INVESTMENT SECURITIES",3
" CHINA MERCHANTS SECURITIES (HK
",1
" CHINA RENAISSANCE",4
" CHINA RENAISSANCE SECURITIES",1
" CHINA SECURITIES",7
" CHINA TONGHAI SECURITIES",1
" CIBC CAPITAL MARKETS",1
" CICC",8
" CIM SECURITIES",1
" CINDA INTERNATIONAL",3
" CITIC",2
" CITIGROUP",26
" CITIGROUP",3
" CITIZENS CAPITAL MARKETS",1
" CJS INTERNATIONAL",2
" CLC INTERNATIONAL",1
" CLC SECURITIES",1
" CLSA",6
" CMB",2
" CMB INTERNATIONAL",5
" CMBC",1
" CMS",8
" CNI SECURITIES",1
" CODE ADVISORS",1
" COWEN",24
" COWEN",2
" COWEN AND COMPANY",1
" CREDIT SUISSE",17
" CREDIT SUISSE",9
" CROSBY",1
" CSRI",1
" CUTTONE & CO.",1
" D.A. DAVIDSON & CO.",1
" D.A. DAVIDSON & CO.",2
" DEUTSCHE BANK",1
" DEUTSCHE BANK SECURITIES",5
" DEUTSCHE BANK SECURITIES",10
" DEUTSCHE BANK SECURITIES",1
" DONGXING SECURITIES",3
" EARLYBIRDCAPITAL",1
" EBS INTERNATIONAL",3
" ELSTONE",1
" ENERGY SPECIALISTS OF PIPER JAFFRAY",1
" ESSENCE SECURITIES",2
" EVERCORE ISI",3
" EVERCORE ISI",4
" EVERCORE ISI",1
" FIFTH THIRD SECURITIES",1
" FIRST ANALYSIS SECURITIES CORP.",1
" FIRST CAPITAL SECURITIES",4
" FIRST SHANGHAI GROUP",3
" FOROS",1
" FORTUNE FINANCE CAPITAL",1
" FORTUNE SECURITIES",1
" FOSUN HANI",2
" FOUNDER SECURITIES",2
" FULBRIGHT SECURITIES",1
" FUTU SECURITIES",1
" FUTURE LAND RESOURCES",4
" FUTURE LAND RESOURCES SECURITIES",2
" GET NICE SECURITIES",1
" GF SECURITIES",2
" GLOBAL MASTERMIND",1
" GOLDMAN",2
" GOLDMAN SACHS",12
" GOLDMAN SACHS (ASIA) L.L.C.",1
" GOLDMAN SACHS (ASIA) L.L.C.",1
" GOLDMAN SACHS (ASIA) L.L.C.",2
" GOLDMAN SACHS & CO. LLC",2
" GOLDMAN SACHS & CO. LLC",2
" GOLDMAN SACHS & CO. LLC",11
" GRAND PARTNERS SECURITIES",1
" GRAND VIEW SECURITIES",1
" GREAT ROC",3
" GREAT WALL SECURITIES",1
" GUGGENHEIM SECURITIES",3
" GUGGENHEIM SECURITIES",1
" GUOSEN SECURITIES",1
" GUOTAI JUNAN SECURITIES",7
" GUOTAI JUNAN SECURITIES， BOC INTERNATIONAL",1
" HAITONG",12
" HAITONG INTERNATIONAL",4
" HEAD & SHOULDERS SECURITIES",7
" HF SECURITIES",1
" HKMONKEY SECURITIES",3
" HOLT & CO.",1
" HOVDE GROUP",1
" HSBC",3
" HSBC HOLDINGS",1
" HUA TAI FINANCIAL",2
" HUA YING SECURITIES",1
" HUABANG CORPORATE FINANCE",1
" HUANYING INTERNATIONAL",1
" HUARONG FINANCIAL",1
" HUATAI UNITED SECURITIES",5
" ICBC",5
" IMPERIAL CAPITAL",1
" IMPERIAL CAPITAL",1
" IMPERIAL CAPITAL",1
" INC.",1
" INC.",2
" INDUSTRIAL SECURITIES",6
" INFAST BROKERAGE",1
" ING",1
" INNOVAX",3
" J.P. MORGAN",19
" J.P. MORGAN",12
" JEFFERIES",14
" JEFFERIES",1
" JEFFERIES & COMPANY",1
" JMP SECURITIES",4
" JMP SECURITIES",8
" JMP SECURITIES ",1
" JOHNSON RICE & COMPANY L.L.C.",1
" JPMORGAN",1
" JPMORGAN CHASE",1
" KAOLA SECURITIES",1
" KEEFE",2
" KEYBANC CAPITAL MARKETS",6
" KEYBANC CAPITAL MARKETS",4
" KIASA SECURITIES",1
" KIRIN SECURITIES",1
" KKR",3
" L.P.",3
" LADENBURG THALMANN",1
" LADENBURG THALMANN & CO. INC.",1
" LEERINK PARTNERS",4
" LEERINK PARTNERS",4
" LEERINK PARTNERS",1
" LEERINK PARTNERS",2
" LEGO CORPOARTE FINANCE",1
" LEGO SECURITIES",1
" LIGHTHOUSE",1
" LIONTREE",1
" LLC",3
" LLC",1
" LONGASIA",2
" MACQUARIE",1
" MACQUARIE CAPITAL",2
" MARKETSENSE SECURITIES",2
" MASON SECURITIES",2
" MAXIM GROUP LLC",1
" MERRILL LYNCH",4
" MERRILL LYNCH",1
" MIZUHO SECURITIES",3
" MIZUHO SECURITIES",2
" MORGAN STANLEY",8
" MORGAN STANLEY",7
" MORGAN STANLEY
BARCLAYS",1
" MORGEN STANLEY",8
" MORTON SECURITIES",2
" MOUETTE SECURITIES",1
" MUFG",1
" NEEDHAM & COMPANY",1
" NEEDHAM & COMPANY",3
" NEEDHAM & COMPANY",6
" NOBLESSED SECURITIES",1
" NOMURA",1
" NORTHLAND CAPITAL MARKETS",1
" NORTHLAND CAPITAL MARKETS",1
" OCEANWIDE SECURITIES",2
" ODDO BHF",1
" OPPENHEIMER & CO.",1
" OPPENHEIMER & CO.",1
" OPPENHEIMER & CO.",4
" OPUS CAPITAL",2
" ORIENT CAPITAL",2
" PARAGON SECURITIES",1
" PF GROUP",4
" PICKERING",1
" PING AN SECURITIES",2
" PINGAN OF CHINA SECURITIES",3
" PINGAN SECURITIES",1
" PIPER JAFFRAY",4
" PIPER JAFFRAY",5
" PIPER JAFFRAY",1
" PROMISING SECURITIES",1
" PULSAR CAPITAL",1
" QUASAR SECURITIES",3
" RAFFAELLO CAPITAL",2
" RAYMOND JAMES",8
" RAYMOND JAMES",4
" RBC CAPITAL MARKETS",7
" RBC CAPITAL MARKETS",7
" RBC CAPITAL MARKETS
",2
" REGIONS SECURITIES LLC",1
" RHB SECURITIES",2
" ROTH CAPITAL PARTNERS",1
" RUIBANG SECURITIES",2
" SACHS & CO.",1
" SACHS & CO. LLC",1
" SANDLER O’NEILL + PARTNERS",1
" SANFULL SECURITIES",1
" SBI CHINA CAPITAL",2
" SHENWAN HONGYUAN",1
" SHENWAN HONGYUAN CAPITAL",1
" SILK ROAD INTERNATIONAL",2
" SIMMONS & COMPANY INTERNATIONAL",1
" SIMMONS & COMPANY INTERNATIONAL",1
" SINCERE SECURITIES",3
" SINOMAX SECURITIES",1
" SOMERLEY CAPITAL",1
" SORRENTO SECURITIES",2
" SOUTH CHINA FINANCIAL",1
" SOUTHWEST SECURITIES",1
" SPDB INTERNATIONAL",4
" SSIF",1
" STEPHENS INC.",4
" STEPHENS INC.",2
" STIFE",1
" STIFEL",8
" STIFEL",1
" STIFEL
",1
" STIFEL              ",1
" SUCCESS SECURITIES",1
" SUNFUND SECURITIES",1
" SUNTRUST ROBINSON HUMPHREY",4
" SUNTRUST ROBINSON HUMPHREY",1
" SUNTRUST ROBINSON HUMPHREY",7
" SUNWAH KINGSWAY CAPITAL",1
" SUPREME CHINA SECURITIES",2
" TEBON SECURITIES",1
" THOMAS WEISEL PARTNERS LLC",1
" TPG CAPITAL BD",1
" TUDOR",1
" UBS",5
" UBS INVESTMENT BANK",9
" UBS INVESTMENT BANK",6
" UBS INVESTMENT BANK
",1
" UOBKAYHIAN",1
" VBG CAPITAL",2
" VICTORY SECURITIES",2
" WEALTHLINK SECURITIES",4
" WEDBUSH PACGROW",3
" WEDBUSH PACGROW",1
" WEDBUSH PACGROW    ",1
" WELLINGTON FINANCIAL",1
" WELLS FARGO SECURITIES",5
" WELLS FARGO SECURITIES",1
" WELLS FARGO SECURITIES",6
" WILLIAM BLAIR",11
" WILLIAM BLAIR",5
" WILLIAM BLAIR    ",1
" WOLFE CAPITAL MARKETS AND ADVISORY",1
" YICKO SECURITIES",1
" YUANTA SECURITIES",1
" YUANYIN SECURITIES",2
" YUEXIU SECURITIES",2
" ZHONG JIA SECURITIES",1
" ZHONGTAI INTERNATIONAL",2
"AAA",2
"ABC INTERNATIONAL",3
"AJ SECURITIES",1
"ALLEN & COMPANY LLC",1
"ALLIANCE CAPITAL",4
"ALPHA FINANCIAL GROUP",6
"AMPLE CAPITAL",1
"AMTD",1
"BAIRD",1
"BALLAS CAPITAL",1
"BARCLAYS",2
"BENCHMARK",2
"BMO CAPITAL MARKETS",2
"BNP PARIBAS",1
"BOC INTERNATIONAL",1
"BOCOM INTERNATIONAL",1
"BOFA MERRILL LYNCH",6
"BOFA MERRILL LYNCH",8
"BOUSTEAD SECURITIES",2
"CANTOR",3
"CANTOR FITZGERALD",1
"CCB INTERNATIONAL",5
"CENTURY SECURITIES",1
"CFSG",1
"CHANGJIANG FINANCING SERVICES",3
"CHAOSHANG SECURITIES",1
"CHARDAN",1
"CHARDAN CAPITAL MARKETS",1
"CHINA EVERBRIGHT CAPITAL",1
"CHINA GALAXY SECURITIES",1
"CHINA MERCHANTS SECURITIES (HK)",1
"CHINA RENAISSANCE HOLDINGS",1
"CHINA SECURITIES",10
"CHINA SECURITIES ",1
"CHINALIN SECURITIES",2
"CICC",16
"CIMB",1
"CINDA INTERNATIONAL",1
"CISC",1
"CITI ORIENT",3
"CITIC",11
"CITIGROUP",11
"CLC INTERNATIONAL",2
"CLC SECURITIES",1
"CLSA",4
"CMB",1
"CMB INTERNATIONAL",2
"CMS",10
"COWEN",3
"CREDIT SUISSE",8
"DAKIN CAPITAL",1
"DBS",2
"DEUTSCHE BANK",3
"DEUTSCHE BANK SECURITIES",1
"DONGGUAN SECURITIES",1
"DONGHAI SECURITIES",1
"DONGXING SECURITIES",1
"EARLYBIRDCAPITAL",1
"EASY ONE SECURITIES",1
"EBS INTERNATIONAL",1
"EMPEROR SECURITIES",2
"ESSENCE SECURITIES",3
"EVER-LONG SECURITIES",1
"EVERBRIGHT  SECURITIES",1
"FCIB",1
"FIRST CAPITAL SECURITIES",1
"FIRST SHANGHAI GROUP",2
"FORTUNE FINANCE CAPITAL",1
"FOUNDER SECURITIES",1
"FRONTPAGE CAPITAL",2
"FUTURE LAND RESOURCES",2
"GF SECURITIES",9
"GIRAFFE",1
"GOLDMAN SACHS",4
"GOLDMAN SACHS (ASIA) L.L.C.",3
"GOLDMAN SACHS (ASIA) L.L.C.",1
"GOLDMAN SACHS & CO. LLC",3
"GOLDMAN SACHS & CO. LLC",2
"GOLDMAN SACHS & CO. LLC",3
"GOLDMAN SACHS & CO. LLC",14
"GOLDSTATE SECURITIES",1
"GREAT WALL SECURITIES",2
"GUOSEN SECURITIES",2
"GUOTAI JUNAN SECURITIES",9
"GUOYUAN SECURITIES",3
"HAITONG",8
"HALCYON CAPITAL",1
"HEAD & SHOULDERS SECURITIES",5
"HSBC",1
"HUABANG CORPORATE FINANCE",1
"HUAJIN SECURITIES",2
"HUATAI UNITED SECURITIES",9
"INDUSTRIAL SECURITIES",3
"INNOVAX",6
"J.P. MORGAN",13
"J.P. MORGAN",8
"JEFFERIES",8
"JZ SECURITIES",1
"KAOLA SECURITIES",1
"KEEFE",4
"KGI",3
"KINGSTON CAPITAL",1
"LADENBURG THALMANN",1
"LEERINK PARTNERS",1
"LEGO CORPOARTE FINANCE",2
"MACQUARIE",2
"MAXIM GROUP LLC",2
"MINSHENG SECURITIES",2
"MORGAN STANLEY",13
"MORGAN STANLEY",11
"MORGEN STANLEY",9
"NANJING SECURITIES",1
"NATIONAL SECURITIES CORPORATION",1
"NETWORK 1 FINANCIAL SECURITIES",2
"NORTHEAST SECURITIES",1
"OPPENHEIMER & CO.",1
"OPPENHEIMER & CO.",1
"ORIENT CAPITAL",2
"PF GROUP",6
"PINGAN SECURITIES",3
"PIPER JAFFRAY",2
"PIPER JAFFRAY",1
"PULSAR CAPITAL",1
"QUASAR SECURITIES",3
"RAFFAELLO CAPITAL",2
"RAYMOND JAMES",1
"RAYMOND JAMES KEEFE",1
"RED SUN CAPITAL",1
"SANDLER O'NEILL + PARTNERS",2
"SEALAND SECURITIES",2
"SHENGANG SECURITIES",1
"SINOLINK SECURITIES",12
"SOOCHOW SECURITIES",3
"SOUTH CHINA FINANCIAL",1
"SPDB INTERNATIONAL",2
"STEPHENS INC.",1
"STIFEL   RAYMOND JAMES",1
"SUCCESS SECURITIES",1
"SUN INTERNATIONAL SECURITIES",1
"SUNWAH KINGSWAY CAPITAL",8
"UBS",1
"UOBKAYHIAN",1
"VIEWTRADE SECURITIES",4
"VMS",1
"WELLS FARGO SECURITIES",1
"WESTERN SECURITIES",1
"WINDSOR STREET CAPITAL",1
"YUANTA SECURITIES",1
"ZHESHANG SECURITIES",2
"ZHONG DE SECURITIES",1
"ZHONGTAI INTERNATIONAL",1
"ZTF SECURITIES",1
